id,x_min,y_min,x_max,y_max,과수,논,밭,시설,전체,평균_과수_면적,평균_논_면적,평균_밭_면적,평균_시설_면적,전체_평균면적,총_과수_면적,총_논_면적,총_밭_면적,총_시설_면적,전체_면적_합,factory_n,factory_area_mean,factory_area_sum,factory_bulit_area_mean,factory_bulit_area_sum,reservoir_area_ha_mean,reservoir_area_ha_sum,reservoir_store_km3_mean,reservoir_store_km3_sum,factory_irrigation_mean,factory_irrigation_sum,factory_fure_irrigation_mean,factory_fure_irrigation_sum
43416,128.83989798851684,36.017234195774115,128.84100862735255,36.018133517380036,0,1,4,0,5,0,61.8597325029,1721.2830968325,0,1783.1428293354,0,61.8597325029,6885.132387330001,0,6946.992119832901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43417,128.84100862735255,36.017234195774115,128.8421192661883,36.018133517380036,0,0,2,0,2,0,0,1374.029836354,0,1374.029836354,0,0,2748.059672708,0,2748.059672708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43418,128.8421192661883,36.017234195774115,128.843229905024,36.018133517380036,1,0,0,0,1,837.190192161,0,0,0,837.190192161,837.190192161,0,0,0,837.190192161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43419,128.843229905024,36.017234195774115,128.84434054385974,36.018133517380036,0,0,1,0,1,0,0,1020.01631698,0,1020.01631698,0,0,1020.01631698,0,1020.01631698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43421,128.84545118269546,36.017234195774115,128.8465618215312,36.018133517380036,0,0,6,0,6,0,0,194.63423944275,0,194.63423944275,0,0,1167.8054366565,0,1167.8054366565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43423,128.8476724603669,36.017234195774115,128.84878309920262,36.018133517380036,0,0,1,0,1,0,0,1910.30361244,0,1910.30361244,0,0,1910.30361244,0,1910.30361244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43424,128.84878309920262,36.017234195774115,128.84989373803836,36.018133517380036,0,0,2,0,2,0,0,1903.80154998,0,1903.80154998,0,0,3807.60309996,0,3807.60309996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43425,128.84989373803836,36.017234195774115,128.85100437687407,36.018133517380036,0,0,1,0,1,0,0,3163.66113262,0,3163.66113262,0,0,3163.66113262,0,3163.66113262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43426,128.85100437687407,36.017234195774115,128.8521150157098,36.018133517380036,2,3,0,0,5,1239.496910035,725.045672951,0,0,1964.542582986,2478.99382007,2175.137018853,0,0,4654.130838923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43427,128.8521150157098,36.017234195774115,128.85322565454553,36.018133517380036,2,0,2,0,4,2483.59794849,0,2260.131925405,0,4743.729873894999,4967.19589698,0,4520.26385081,0,9487.459747789999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43428,128.85322565454553,36.017234195774115,128.85433629338127,36.018133517380036,1,0,3,0,4,1148.44277564,0,1306.5341323106666,0,2454.976907950667,1148.44277564,0,3919.6023969319995,0,5068.0451725719995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43435,128.86100012639562,36.017234195774115,128.86211076523134,36.018133517380036,0,1,0,0,1,0,1173.47931933,0,0,1173.47931933,0,1173.47931933,0,0,1173.47931933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
